director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,budget,imdb_score,aspect_ratio
Terence Young,129,130,92,177,63600000,1164,Lois Maxwell,1,domino|fiery redhead|nassau|official james bond series|underwater battle,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,English,Approved,9000000,7.0,2.35
Joseph Kahn,115,93,33,123,,15014,Parker Bagley,2,blood splatter|detention|high school|overalls|reference to c. thomas howell,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,English,R,10000000,5.8,2.35
Ferzan Ozpetek,81,110,798,16,,662,Lunetta Savino,9,gay|gay friend|grandmother grandson relationship|heart attack|mother son relationship,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,Italian,,,7.3,2.35
F. Gary Gray,29,123,473,685,36049108,3661,Blair Underwood,4,bank|black comedy|main characters killed off|money|robbery,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,English,R,9000000,6.8,2.35
Malcolm D. Lee,32,120,92,862,34074895,5420,Jarrod Bunch,6,african american|bachelor party|brooklyn bridge|family relationships|stripper,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,English,R,9000000,6.7,1.85
Tom Holland,142,87,85,118,33244684,760,Dinah Manoff,0,birthday|doll|murder|serial killer|voodoo,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,English,R,9000000,6.5,1.85
Michael Moore,263,123,909,184,24530513,1633,Bill Clinton,1,canada|cuba|france|guantanamo|hmo,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,English,PG-13,9000000,8.0,1.85
James DeMonaco,285,103,65,908,71519230,6807,Roberta Valderrama,0,held at gunpoint|machete|masked man|sequel|violence,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,English,R,9000000,6.5,2.35
Kris Isacsson,64,91,0,407,20035310,4409,Shawn Hatosy,1,artist|cake|college|new york city|student,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,English,PG-13,9000000,4.9,1.85
Danny Leiner,150,88,8,587,18225165,3114,Paula Garcés,2,marijuana|police|road trip|stoner|white castle,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,English,R,9000000,7.1,1.85
Rod Lurie,136,126,37,883,17804273,25660,William Petersen,0,bridge|governor|political thriller|president|vice president,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,English,R,20000000,7.0,1.85
Ben Younger,132,120,46,701,16938179,17336,Herbert Russell,3,career|casino|judge|stock|stock broker,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,English,R,8000000,7.0,1.85
John Landis,71,116,644,199,90400000,845,Ralph Bellamy,2,interracial relationship|poverty|prostitute|scam|stock market,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,English,R,,7.5,1.85
Glen Morgan,186,94,17,179,16235293,1611,Andrea Martin,0,attic|christmas|house|incest|sorority,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,English,R,9000000,4.5,2.35
Daniel Taplitz,39,85,2,127,11827301,1345,Patrick Cranshaw,1,female to male foot in crotch|lingerie slip|love|mistaken identity|writer,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,English,PG-13,,5.5,2.35
Kenneth Branagh,46,137,0,130,10161099,1341,Danny Webb,1,battle|battle of agincourt|king|shakespeare play|sword and shield,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,English,PG-13,9000000,7.7,1.85
Tamara Jenkins,201,114,84,338,6610326,23770,Gbenga Akinnagbe,0,arizona|dementia|married man|sun city arizona|writing,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,English,R,,7.2,1.85
Linda Mendoza,32,76,17,571,6126237,2851,Maria Conchita Alonso,3,beauty pageant|bilingual|dating|latino|three women,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,English,PG,,4.8,1.85
Christopher McQuarrie,117,119,188,35,6047856,358,Dylan Kussman,4,criminal|drifter|gangster|money|surrogate mother,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,English,R,8500000,6.7,1.85
Burr Steers,136,99,23,471,4681503,2478,Bill Irwin,1,boy|mistress|money|schizophrenic|school,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,English,R,9000000,7.0,2.35
Hart Bochner,15,79,157,219,4350774,4908,Chris Young,3,college|high school senior|meat|protest|university,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,English,PG-13,8000000,6.5,1.85
Michael O. Sajbel,46,114,6,633,3420871,3824,Mircea Monroe,2,billionaire|grandfather|playboy|trust fund baby|wealth,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,English,PG,,7.4,1.85
,1,30,,140,,639,Hunter Tylo,0,beverly hills california|family relationships|los angeles california|soap opera,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,English,TV-14,,3.5,1.78
Stewart Raffill,41,91,12,297,,1991,Robert Urich,4,bar fight|cult film|ice|psychotronic|sword fight,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,English,PG,9000000,5.7,1.85
Davis Guggenheim,65,95,49,261,2955039,2007,Carly Schroeder,1,boy|girl|soccer|south orange new jersey|teenager,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,English,PG-13,9000000,6.2,2.35
Bart Freundlich,100,103,38,316,1530535,1721,Dagmara Dominczyk,3,actress|lesbianism|manhattan new york city|urination|watching pornography,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,English,R,9000000,5.7,2.35
Andrew Fleming,129,92,26,611,4881867,3767,David Arquette,1,gang banger|sequel|shakespeare's hamlet|student|time machine,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,English,R,9000000,6.4,1.85
Todd Haynes,103,124,162,277,1043487,24102,Janet McTeer,3,1970s|glitter|political cover up|reference to katharine hepburn|reference to spencer tracy,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,English,R,,7.0,1.85
Hong-jin Na,77,156,43,0,770629,50,Woo-hee Chun,0,policeman|stranger|supernatural|village|vomiting,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,Korean,Not Rated,,7.7,2.35
Kevin Tancharoen,67,84,64,748,11860839,4617,Kevin McHale,0,concert|live in concert recording|live performance,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,English,PG,9000000,5.4,1.85
Chatrichalerm Yukol,31,300,6,6,454255,32,Mai Charoenpura,3,16th century|burmese|invasion|queen|thailand,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,Thai,R,400000000,6.6,1.85
Dario Argento,76,120,930,433,349618,2942,Sally Kirkland,1,black cat|cat|evil|photographer|undead,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,English,R,9000000,6.1,1.85
